"Title","Year","Description","Directors","Collections","Duration","Actors"
"Directed by Lois Weber Teaser","0","Trailblazing writer and director Lois Weber combined technical mastery, creative control, and thematic daring to become arguably the first auteur in film history. Tackling controversial subjects such as sex work and birth control, Weber put forward a strikingly personal, ahead-of-its-time vision in films like THE DUMB GIRL OF PORTICI, the first epic directed by a woman and the only feature film to star legendary ballet superstar Anna Pavlova; SHOES, a remarkable proto-neorealist study of poverty; and THE BLOT, a class-conscious romantic melodrama often cited as her masterpiece. Though a giant in her time—she ran her own studio, was the first woman director accepted into the Academy of Motion Picture Arts and Sciences, and at one point was the highest-paid director in Hollywood—her radically progressive body of work was obscured by the male-dominated consolidation of the studio system, making it now ripe for rediscovery.<LF>","","Criterion:Directed by Lois Weber","1:05",""
"L’amour existe (1960)","1960","This contemplative short film, Directed by Maurice Pialat in 1960, depicts life in the banlieues, or suburbs, of Paris and the dead-end existence of the youth residing there.<LF><LF>0ms","Maurice Pialat","Criterion:Directed by Maurice Pialat","20:08",""
"L’enfance nue (1968)","1968","The singular French director Maurice Pialat puts his distinctive stamp on the lost-youth film with this devastating portrait of a damaged foster child. We watch as ten-year-old François (Michel Terrazon) is shuttled from one home to another, his behavior growing increasingly erratic, his bonds with his surrogate parents perennially fraught. In this, his feature debut, Pialat treats that potentially sentimental scenario with astonishing sobriety and stark realism. With its full-throttle mixture of emotionality and clear-eyed skepticism, L'enfance nue (Naked Childhood) was advance notice of one of the most masterful careers in French cinema, and remains one of Pialat's finest works.<LF><LF>0ms","Maurice Pialat","Criterion:Directed by Maurice Pialat","1:23:12","Michel Terrazon; Marie-Louise Thierry; René Thierry"
"We Won’t Grow Old Together (1972)","1972","An end-of-love story for the ages, Maurice Pialat’s masterpiece is a combustible portrait of a couple whose mutual desire tears them apart. A work of lacerating autobiography drawn from the director’s own experiences, WE WON’T GROW OLD TOGETHER follows married, forty-year-old filmmaker Jean (Jean Yanne) and his young, working-class lover Catherine (Marlène Jobert) as they engage in a circular series of spectacular blowups and tentative reunions, their love for one another a fire that burns them again and again. The director’s use of destabilizing jump cuts and claustrophobic spaces pushes the relentless emotional intensity to harrowing heights.<LF><LF>-350ms","Maurice Pialat","Criterion:Directed by Maurice Pialat","1:46:27",""
"Mouth Agape, The (1974)","1974","One of cinema’s greatest and most profound meditations on mortality, THE MOUTH AGAPE observes, with striking unsentimentality, the final days of a terminally ill woman (Monique Mélinand) as those around her—her philandering husband (Hubert Deschamps), aloof son (Philippe Léotard), and worried daughter-in-law (Nathalie Baye)—attempt to carry on with their lives as they await the inevitable. Through unflinching long takes, Pialat crafts a masterpiece of human observation that says as much about life as it does about death.<LF><LF>0ms","Maurice Pialat","Criterion:Directed by Maurice Pialat","1:27:25","Nathalie Baye; Hubert Deschamps; Philippe Léotard; Monique Mélinand"
"Graduate First (1978)","1978","Maurice Pialat’s oft-overlooked chronicle of jaded adolescence unfolds in a small town in northern France where a group of teenagers stave off boredom and the looming responsibilities of adulthood by losing themselves in a reckless cycle of sex, drugs, and rebellion. Something of a companion to Pialat’s first feature, L’ENFANCE NUE, GRADUATE FIRST once again finds the director training his unflinching gaze on the dead-end youth of France with a heightened vérité immediacy that’s realer than realism.<LF><LF>+400ms<LF>","Maurice Pialat","Criterion:Directed by Maurice Pialat","1:28:13","Sabine Haudepin; Philippe Marlaud; Annick Alane"
"Loulou (1980)","1980","A young Isabelle Huppert and Gérard Depardieu make for one of the most breathtaking screen couples in French-cinema history in this raw, sexy, messy tale of amour fou. Huppert is Nelly, a well-to-do woman who chucks her comfortable but dull marriage for a fling with Depardieu’s bad-boy petty criminal Loulou, who introduces her to the allure of the gutter. A fearless exploration of sexual liberation and the French class system, LOULOU stands as one of director Maurice Pialat’s riskiest and most startling studies of the volatile unpredictability of human nature.<LF><LF>0ms","Maurice Pialat","Criterion:Directed by Maurice Pialat","1:45:37","Isabelle Huppert; Gérard Depardieu; Guy Marchand"
"À nos amours (1983)","1983","With his raw style of filmmaking, Maurice Pialat has been called the John Cassavetes of French cinema, and the scorching À Nos Amours is one of his greatest achievements. In a revelatory film debut, the dynamic, fresh-faced Sandrine Bonnaire plays Suzanne, a fifteen-year-old Parisian who embarks on a sexual rampage in an effort to separate herself from her overbearing, beloved father (played with astonishing magnetism by Pialat himself), ineffectual mother, and brutish brother. A tender character study that can erupt in startling violence, À Nos Amours is one of the high-water marks of eighties French cinema.<LF><LF>-200ms","Maurice Pialat","Criterion:Directed by Maurice Pialat","1:39:43","Sandrine Bonnaire; Maurice Pialat"
"Police (1985)","1985","Maurice Pialat’s subversive take on the policier stars Gérard Depardieu as a tough Parisian detective known for his hard-nosed interrogation tactics. When he finds himself drawn to a drug dealer’s girlfriend (Sophie Marceau) who also happens to be a suspect in a Tunisian drug-smuggling syndicate, his rigorous code of honor is put to the test. Written by Catherine Breillat, this explosive human drama delves fearlessly into a complex moral no-man’s land as it exposes the often-thin line that separates authority from criminality.<LF><LF>+100ms<LF>","Maurice Pialat","Criterion:Directed by Maurice Pialat","1:54:25","Gérard Depardieu; Sophie Marceau; Sandrine Bonnaire"
"Under the Sun of Satan (1987)","1987","Winner of the Palme d’Or at the 1987 Cannes Film Festival—where its victory was greeted with more than a bit of controversy—Maurice Pialat’s searing adaptation of a novel by Georges Bernanos stars Gérard Depardieu as a priest in the throes of a moral and spiritual crisis who channels his torment into saving the soul of a pregnant teenager (Sandrine Bonnaire) who has murdered her lover. Depardieu’s visceral performance and Pialat’s rigorous style come together to create an intense, shattering exploration of faith, sin, and salvation.<LF><LF>-1100ms","Maurice Pialat","Criterion:Directed by Maurice Pialat","1:38:02","Gérard Depardieu; Sandrine Bonnaire; Maurice Pialat"
"Van Gogh (1991)","1991","Maurice Pialat’s visually stunning penultimate work is an epic, masterful dramatization of the final months in the life of the troubled painter (played by musician Jacques Dutronc in a César-winning performance) that focuses less on his creative genius and more on his complicated personal relationships with those in his orbit, including his brother Theo (Bernard Le Coq), doctor Paul Gachet (Gérard Séty), and the physician’s daughter Marguerite (Alexandra London) who becomes Vincent’s lover. Pialat’s sober, defiantly unsensational approach illuminates the human side of an artist whose legend has often obscured the complex, nuanced reality of his life.<LF>","Maurice Pialat","Criterion:Directed by Maurice Pialat","2:39:13","Jacques Dutronc; Alexandra London; Bernard Le Coq"
"Damien Chazelle on Maurice Pialat’s À NOS AMOURS","0","Damien Chazelle on Maurice Pialat’s À NOS AMOURS<LF><LF>-200ms","","Criterion:Directed by Maurice Pialat","7:48",""
"Melvin Van Peebles on THE STORY OF A THREE DAY PASS","0","This August 14, 1968, episode of the television program “Black Journal” features an interview with director Melvin Van Peebles, who was promoting the U.S. release of his first feature film, THE STORY OF A THREE DAY PASS.<LF>","","Criterion:Directed by Melvin Van Peebles","5:24",""
"Melvin Van Peebles on “Detroit Tubeworks”","0","","","Criterion:Directed by Melvin Van Peebles","13:22",""
"Directed by Mike Leigh Teaser","0","The great prickly humanist of British cinema, Mike Leigh has forged a body of work unique in its concern for the struggles of ordinary people and the social fabric of working-class London. Famously born from a process of extensive improvisation with his powerhouse actors, Leigh’s films inhabit a register of tragicomic despair that, thanks to their unwavering compassion, never slips into miserabilism. From his early slice-of-life portraits of Thatcher-era Britain (MEANTIME, HIGH HOPES) to his award-winning international triumphs (NAKED, SECRETS & LIES) to forays into the period drama (VERA DRAKE) and relatively lighthearted comedy (HAPPY-GO-LUCKY), Leigh plumbs the darkest depths of the human condition without ever losing hope.<LF>","","Criterion:Directed by Mike Leigh","1:59",""
